ISIN,FIXED INCOME,BONDS,NETHERLANDS,0.75%  - RABOBANK 18/23 -SR- ,EUR ,"500,000.00 ","513,168.50",2.11
ISIN,FIXED INCOME,BONDS,SPAIN,0.50%  - SANTANDER CONSUMER FINANCE 17/21 -SR-S ,EUR ,"600,000.00 ","608,411.40",2.50
ISIN,FIXED INCOME,BONDS,SWEDEN,0.50%  - SKANDINAVISKA ENSKILDA BANKEN 18/23 -SR- ,EUR ,"500,000.00 ","510,325.00",2.10
ISIN,FIXED INCOME,BONDS,SWITZERLAND,1.125%  - CREDIT SUISSE LONDON 15/20 ,EUR ,"500,000.00 ","508,243.50",2.09
ISIN,FIXED INCOME,BONDS,UNITED KINGDOM,1.117%  - BP CAPITAL MARKETS 16/24 -SR-S ,EUR ,"600,000.00 ","627,581.40",2.57
ISIN,FIXED INCOME,BONDS,UNITED KINGDOM,1.134%  - FCE BANK 15/22 -SR-S ,EUR ,"300,000.00 ","301,476.00",1.24
ISIN,FIXED INCOME,BONDS,UNITED STATES,0.35%  - AMERICAN HONDA FINANCE 19/22 -SR- ,EUR ,"600,000.00 ","607,234.80",2.50
ISIN,FIXED INCOME,BONDS,UNITED STATES,0.375%  - METROPOLITAN LIFE 19/24 -SR-S ,EUR ,"600,000.00 ","607,734.60",2.50
ISIN,FIXED INCOME,BONDS,UNITED STATES,0.375%  - UNITED PARCEL SERVICE 17/23 -SR- ,EUR ,"600,000.00 ","609,034.20",2.51
ISIN,FIXED INCOME,BONDS,UNITED STATES,0.95%  - IBM 17/25 -SR- ,EUR ,"600,000.00 ","624,307.20",2.57
ISIN,FIXED INCOME,BONDS,UNITED STATES,1.00%  - ELI LILLY 15/22 -SR- ,EUR ,"600,000.00 ","620,221.20",2.55
ISIN,FIXED INCOME,BONDS,UNITED STATES,1.125%  WELLS FARGO 14/21 '59' -SR-S ,EUR ,"600,000.00 ","617,244.00",2.54
ISIN,FIXED INCOME,BONDS,UNITED STATES,1.375%  - ABBVIE 16/24 -SR- ,EUR ,"500,000.00 ","523,118.50",2.15
ISIN,FIXED INCOME,BONDS,UNITED STATES,1.875%  - CARGILL INC 12/19 -SR-S ,EUR ,"600,000.00 ","602,243.40",2.48
ISIN,FIXED INCOME,II. UNITS OF INVESTMENT FUNDS,GERMANY,ISHARES DJ EURO STOXX 600 (DE) ,EUR ,"15,740.00 ","602,605.90",2.48
ISIN,FIXED INCOME,II. UNITS OF INVESTMENT FUNDS,IRELAND,ISHARES VII - MSCI JAPAN B USD -ACC- ,JPY ,"2,090.00 ","265,397.42",1.09
ISIN,FIXED INCOME,II. UNITS OF INVESTMENT FUNDS,LUXEMBOURG,MAINFIRST - TOP EUROPEAN IDEAS FUND R ,EUR ,"1,340.00 ","185,442.60",0.76
ISIN,FIXED INCOME,II. UNITS OF INVESTMENT FUNDS,LUXEMBOURG,SISF - ASIAN TOTAL RETURN - C -CAP- ,USD ,690.00 ,"180,679.91",0.74
ISIN,FIXED INCOME,II. UNITS OF INVESTMENT FUNDS,SWITZERLAND,PICTET CH - SHORT-TERM MONEY MARKET CHF - I DY ,CHF ,65.00 ,"52,757.29",0.22
ISIN,FIXED INCOME,II. UNITS OF INVESTMENT FUNDS,SWITZERLAND,PICTET CH - SHORT-TERM MONEY MARKET EUR - I DY ,EUR ,"1,687.87 ","1,627,431.76",6.69
ISIN,FIXED INCOME,II. UNITS OF INVESTMENT FUNDS,SWITZERLAND,PICTET CH - SHORT-TERM MONEY MARKET GBP - I DY ,GBP ,20.00 ,"22,601.71",0.09
ISIN,FIXED INCOME,II. UNITS OF INVESTMENT FUNDS,SWITZERLAND,PICTET CH - SHORT-TERM MONEY MARKET USD - I DY ,USD ,380.00 ,"344,038.81",1.42
ISIN,ORION,SHARES,FRANCE,CAPGEMINI ,EUR ,"1,020.00 ","111,537.00",1.10
ISIN,ORION,SHARES,FRANCE,SANOFI ,EUR ,"1,200.00 ","91,092.00",0.90
ISIN,ORION,SHARES,FRANCE,TOTAL ,EUR ,24.00 ,"1,182.60",0.01
ISIN,ORION,SHARES,FRANCE,VEOLIA ENVIRONNEMENT ,EUR ,"5,330.00 ","114,168.60",1.13
ISIN,ORION,SHARES,GERMANY,ALLIANZ ,EUR ,700.00 ,"148,400.00",1.47
ISIN,ORION,SHARES,GERMANY,DEUTSCHE TELEKOM REG. ,EUR ,"6,400.00 ","97,356.80",0.96
ISIN,ORION,SHARES,GERMANY,E.ON ,EUR ,"11,000.00 ","105,061.00",1.04
ISIN,ORION,SHARES,GERMANY,SAP ,EUR ,"1,000.00 ","120,760.00",1.19
ISIN,ORION,SHARES,NETHERLANDS,ROYAL PHILIPS ,EUR ,"2,500.00 ","95,462.50",0.94
ISIN,ORION,SHARES,SWITZERLAND,ABB ,CHF ,"5,400.00 ","95,274.38",0.94
ISIN,ORION,SHARES,SWITZERLAND,NESTLE ,CHF ,"1,300.00 ","118,323.38",1.17
ISIN,ORION,SHARES,SWITZERLAND,NOVARTIS  ,CHF ,"1,500.00 ","120,504.71",1.19
ISIN,ORION,SHARES,SWITZERLAND,SWISS LIFE HOLDING ,CHF ,370.00 ,"161,218.74",1.59
ISIN,ORION,SHARES,SWITZERLAND,UBS GROUP REG. ,CHF ,"6,100.00 ","63,728.80",0.63
ISIN,ORION,SHARES,UNITED KINGDOM,DIAGEO ,GBP ,"3,859.00 ","145,943.16",1.44
